ac_no,constituency,district,region_5way,reservation,2011 Assembly Actual Winner,2014 Lok Sabha AC/Segment Actual Winner,Historical Projection [2011-2014],2016 Assembly Actual Winner,2021 Assembly Actual Winner,Long-Term Trend [2014-2021],2021 Assembly Actual Winner For Swing,2024 Lok Sabha Actual Winner,2024 UDF Vote Share (%),2024 LDF Vote Share (%),2024 NDA Vote Share (%),Recent Swing [2021-2024]
18,Sulthan Bathery,Wayanad,North,Reserved,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,UDF,Stable UDF,UDF,UDF,59.69,26.09,13.04,Stable UDF
19,Kalpetta,Wayanad,North,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,UDF,Stable UDF,UDF,UDF,59.69,26.09,13.04,Stable UDF
20,Vatakara,Kozhikode,North_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,49.65,39.45,9.98,Shift LDF to UDF
21,Kuttiady,Kozhikode,North_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,49.65,39.45,9.98,Shift LDF to UDF
22,Nadapuram,Kozhikode,North_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,49.65,39.45,9.98,Shift LDF to UDF
23,Koyilandy,Kozhikode,North_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,47.74,34.33,16.56,Shift LDF to UDF
24,Perambra,Kozhikode,North_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,47.74,34.33,16.56,Shift LDF to UDF
25,Balusseri,Kozhikode,North_Central,Reserved,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,47.74,34.33,16.56,Shift LDF to UDF
26,Elathur,Kozhikode,North_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,47.74,34.33,16.56,Shift LDF to UDF
27,Kozhikode North,Kozhikode,North_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,47.74,34.33,16.56,Shift LDF to UDF
28,Kozhikode South,Kozhikode,North_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,47.74,34.33,16.56,Shift LDF to UDF
29,Beypore,Kozhikode,North_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,47.74,34.33,16.56,Shift LDF to UDF
30,Kunnamangalam,Kozhikode,North_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,LDF,Shift UDF to LDF,LDF,UDF,54.81,31.84,12.15,Shift LDF to UDF
31,Koduvally,Kozhikode,North_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,UDF,Stable UDF,UDF,UDF,47.74,34.33,16.56,Stable UDF
32,Thiruvambadi,Kozhikode,North_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,LDF,Shift UDF to LDF,LDF,UDF,59.69,26.09,13.04,Shift LDF to UDF
33,Kondotty,Malappuram,North_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,UDF,Stable UDF,UDF,UDF,59.35,31.69,7.85,Stable UDF
34,Eranad,Malappuram,North_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,UDF,Stable UDF,UDF,UDF,59.69,26.09,13.04,Stable UDF
35,Nilambur,Malappuram,North_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,LDF,Shift UDF to LDF,LDF,UDF,59.69,26.09,13.04,Shift LDF to UDF
36,Wandoor,Malappuram,North_Central,Reserved,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,UDF,Stable UDF,UDF,UDF,59.69,26.09,13.04,Stable UDF
37,Manjeri,Malappuram,North_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,UDF,Stable UDF,UDF,UDF,59.35,31.69,7.85,Stable UDF
38,Perinthalmanna,Malappuram,North_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,UDF,Stable UDF,UDF,UDF,59.35,31.69,7.85,Stable UDF
39,Mankada,Malappuram,North_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,UDF,Stable UDF,UDF,UDF,59.35,31.69,7.85,Stable UDF
40,Malappuram,Malappuram,North_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,UDF,Stable UDF,UDF,UDF,59.35,31.69,7.85,Stable UDF
41,Vengara,Malappuram,North_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,UDF,Stable UDF,UDF,UDF,59.35,31.69,7.85,Stable UDF
42,Vallikunnu,Malappuram,North_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,UDF,Stable UDF,UDF,UDF,59.35,31.69,7.85,Stable UDF
43,Tirurangadi,Malappuram,North_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,UDF,Stable UDF,UDF,UDF,54.81,31.84,12.15,Stable UDF
44,Tanur,Malappuram,North_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,54.81,31.84,12.15,Shift LDF to UDF
45,Tirur,Malappuram,North_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,UDF,Stable UDF,UDF,UDF,54.81,31.84,12.15,Stable UDF
46,Kottakkal,Malappuram,North_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,UDF,Stable UDF,UDF,UDF,54.81,31.84,12.15,Stable UDF
47,Thavanur,Malappuram,North_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,54.81,31.84,12.15,Shift LDF to UDF
48,Ponnani,Malappuram,North_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,54.81,31.84,12.15,Shift LDF to UDF
49,Thrithala,Palakkad,North_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,LDF,Shift UDF to LDF,LDF,UDF,40.66,33.39,24.31,Shift LDF to UDF
50,Pattambi,Palakkad,North_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,40.66,33.39,24.31,Shift LDF to UDF
51,Shornur,Palakkad,North_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,40.66,33.39,24.31,Shift LDF to UDF
52,Ottappalam,Palakkad,North_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,40.66,33.39,24.31,Shift LDF to UDF
53,Kongad,Palakkad,North_Central,Reserved,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,40.66,33.39,24.31,Shift LDF to UDF
54,Mannarkkad,Palakkad,North_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,UDF,Stable UDF,UDF,UDF,40.66,33.39,24.31,Stable UDF
55,Malampuzha,Palakkad,North_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,40.66,33.39,24.31,Shift LDF to UDF
56,Palakkad,Palakkad,North_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,UDF,Stable UDF,UDF,LDF,38.63,40.66,18.97,Shift UDF to LDF
57,Tarur,Palakkad,North_Central,Reserved,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,LDF,38.63,40.66,18.97,Stable LDF
58,Chittur,Palakkad,North_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,LDF,38.63,40.66,18.97,Stable LDF
59,Nenmara,Palakkad,North_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,LDF,38.63,40.66,18.97,Stable LDF
60,Alathur,Palakkad,North_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,LDF,Shift UDF to LDF,LDF,LDF,38.63,40.66,18.97,Stable LDF
61,Chelakkara,Thrissur,Central,Reserved,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,LDF,38.63,40.66,18.97,Stable LDF
62,Kunnamkulam,Thrissur,Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,LDF,38.63,40.66,18.97,Stable LDF
63,Guruvayoor,Thrissur,Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,NDA,30.35,30.95,37.8,Shift LDF to NDA
64,Manalur,Thrissur,Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,NDA,30.35,30.95,37.8,Shift LDF to NDA
65,Wadakkanchery,Thrissur,Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,NDA,30.35,30.95,37.8,Shift LDF to NDA
66,Ollur,Thrissur,Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,NDA,30.35,30.95,37.8,Shift LDF to NDA
67,Thrissur,Thrissur,Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,LDF,Shift UDF to LDF,LDF,NDA,30.35,30.95,37.8,Shift LDF to NDA
68,Nattika,Thrissur,Central,Reserved,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,NDA,30.35,30.95,37.8,Shift LDF to NDA
69,Kaipamangalam,Thrissur,Central,Reserved,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,NDA,30.35,30.95,37.8,Shift LDF to NDA
70,Irinjalakuda,Thrissur,Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,LDF,Shift UDF to LDF,LDF,UDF,41.44,34.73,11.25,Shift LDF to UDF
71,Puthukkad,Thrissur,Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,41.44,34.73,11.25,Shift LDF to UDF
72,Chalakudy,Thrissur,Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,UDF,Stable UDF,UDF,UDF,41.44,34.73,11.25,Stable UDF
73,Kodungallur,Thrissur,Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,41.44,34.73,11.25,Shift LDF to UDF
74,Perumbavoor,Ernakulam,Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,UDF,Stable UDF,UDF,UDF,41.44,34.73,11.25,Stable UDF
75,Angamaly,Ernakulam,Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,UDF,Stable UDF,UDF,UDF,41.44,34.73,11.25,Stable UDF
76,Aluva,Ernakulam,Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,UDF,Stable UDF,UDF,UDF,41.44,34.73,11.25,Stable UDF
77,Kalamassery,Ernakulam,Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,52.97,25.47,15.95,Shift LDF to UDF
78,Paravur,Ernakulam,Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,UDF,Stable UDF,UDF,UDF,52.97,25.47,15.95,Stable UDF
79,Vypin,Ernakulam,Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,52.97,25.47,15.95,Shift LDF to UDF
80,Kochi,Ernakulam,Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,52.97,25.47,15.95,Shift LDF to UDF
81,Thripunithura,Ernakulam,Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,UDF,Stable UDF,UDF,UDF,52.97,25.47,15.95,Stable UDF
82,Ernakulam,Ernakulam,Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,UDF,Stable UDF,UDF,UDF,52.97,25.47,15.95,Stable UDF
83,Thrikkakara,Ernakulam,Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,UDF,Stable UDF,UDF,UDF,52.97,25.47,15.95,Stable UDF
84,Kunnathunad,Ernakulam,Central,Reserved,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,51.43,35.53,10.88,Shift LDF to UDF
85,Piravom,Ernakulam,Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,UDF,Stable UDF,UDF,UDF,51.43,35.53,10.88,Stable UDF
86,Muvattupuzha,Ernakulam,Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,UDF,Stable UDF,UDF,UDF,51.43,35.53,10.88,Stable UDF
87,Kothamangalam,Ernakulam,Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,51.43,35.53,10.88,Shift LDF to UDF
88,Devikulam,Idukki,Central,Reserved,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,51.43,35.53,10.88,Shift LDF to UDF
89,Udumbanchola,Idukki,Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,51.43,35.53,10.88,Shift LDF to UDF
90,Thodupuzha,Idukki,Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,UDF,Stable UDF,UDF,UDF,51.43,35.53,10.88,Stable UDF
91,Idukki,Idukki,Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,LDF,Shift UDF to LDF,LDF,UDF,43.6,33.17,19.74,Shift LDF to UDF
92,Peerumede,Idukki,Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,LDF,Shift UDF to LDF,LDF,UDF,43.6,33.17,19.74,Shift LDF to UDF
93,Pala,Kottayam,South_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,LDF,Shift UDF to LDF,LDF,UDF,43.6,33.17,19.74,Shift LDF to UDF
94,Kaduthuruthy,Kottayam,South_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,UDF,Stable UDF,UDF,UDF,43.6,33.17,19.74,Stable UDF
95,Vaikom,Kottayam,South_Central,Reserved,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,43.6,33.17,19.74,Shift LDF to UDF
96,Ettumanoor,Kottayam,South_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,43.6,33.17,19.74,Shift LDF to UDF
97,Kottayam,Kottayam,South_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,UDF,Stable UDF,UDF,UDF,43.6,33.17,19.74,Stable UDF
98,Puthuppally,Kottayam,South_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,UDF,Stable UDF,UDF,UDF,38.21,32.21,28.3,Stable UDF
99,Changanassery,Kottayam,South_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,LDF,Shift UDF to LDF,LDF,UDF,38.21,32.21,28.3,Shift LDF to UDF
100,Kanjirappally,Kottayam,South_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,LDF,Shift UDF to LDF,LDF,UDF,38.21,32.21,28.3,Shift LDF to UDF
101,Poonjar,Kottayam,South_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,UDF,Stable UDF,UDF,UDF,38.21,32.21,28.3,Stable UDF
102,Aroor,Alappuzha,South_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,38.21,32.21,28.3,Shift LDF to UDF
103,Cherthala,Alappuzha,South_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,38.21,32.21,28.3,Shift LDF to UDF
104,Alappuzha,Alappuzha,South_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,38.21,32.21,28.3,Shift LDF to UDF
105,Ambalappuzha,Alappuzha,South_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,41.29,40.07,16.0,Shift LDF to UDF
106,Kuttanad,Alappuzha,South_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,LDF,Shift UDF to LDF,LDF,UDF,41.29,40.07,16.0,Shift LDF to UDF
107,Haripad,Alappuzha,South_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,UDF,Stable UDF,UDF,UDF,41.29,40.07,16.0,Stable UDF
108,Kayamkulam,Alappuzha,South_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,41.29,40.07,16.0,Shift LDF to UDF
109,Mavelikkara,Alappuzha,South_Central,Reserved,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,41.29,40.07,16.0,Shift LDF to UDF
110,Chengannur,Alappuzha,South_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,LDF,Shift UDF to LDF,LDF,UDF,41.29,40.07,16.0,Shift LDF to UDF
111,Thiruvalla,Pathanamthitta,South_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,LDF,Shift UDF to LDF,LDF,UDF,41.29,40.07,16.0,Shift LDF to UDF
112,Ranni,Pathanamthitta,South_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,LDF,Shift UDF to LDF,LDF,UDF,39.98,32.79,25.55,Shift LDF to UDF
113,Aranmula,Pathanamthitta,South_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,39.98,32.79,25.55,Shift LDF to UDF
114,Konni,Pathanamthitta,South_Central,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,39.98,32.79,25.55,Shift LDF to UDF
115,Adoor,Pathanamthitta,South_Central,Reserved,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,UDF,Stable UDF,UDF,UDF,39.98,32.79,25.55,Stable UDF
116,Karunagapally,Kollam,South,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,UDF,Stable UDF,UDF,UDF,39.98,32.79,25.55,Stable UDF
117,Chavara,Kollam,South,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,48.45,32.03,17.82,Shift LDF to UDF
118,Kunnathur,Kollam,South,Reserved,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,48.45,32.03,17.82,Shift LDF to UDF
119,Kottarakkara,Kollam,South,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,48.45,32.03,17.82,Shift LDF to UDF
120,Pathanapuram,Kollam,South,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,LDF,Shift UDF to LDF,LDF,UDF,48.45,32.03,17.82,Shift LDF to UDF
121,Punalur,Kollam,South,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,48.45,32.03,17.82,Shift LDF to UDF
122,Chadayamangalam,Kollam,South,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,48.45,32.03,17.82,Shift LDF to UDF
123,Kundara,Kollam,South,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,UDF,Stable UDF,UDF,UDF,48.45,32.03,17.82,Stable UDF
124,Kollam,Kollam,South,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,33.29,33.22,31.65,Shift LDF to UDF
125,Eravipuram,Kollam,South,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,33.29,33.22,31.65,Shift LDF to UDF
126,Chathannoor,Kollam,South,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,UDF,LDF,Shift UDF to LDF,LDF,UDF,33.29,33.22,31.65,Shift LDF to UDF
127,Varkala,Thiruvananthapuram,South,General,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,33.29,33.22,31.65,Shift LDF to UDF
128,Attingal,Thiruvananthapuram,South,Reserved,Not available in uploaded dataset,Not available in uploaded dataset,Cannot calculate from uploaded dataset,LDF,LDF,Stable LDF,LDF,UDF,33.29,33.22,31.65,Shift LDF to UDF
